,season,market,name,alias,current_division,wins,losses,ties,pct
0,2013,,,,,0,8,0,0.0
1,2013,,,,,2,10,0,0.2
2,2013,,,,,1,11,0,0.09090909090909091
3,2013,Lane College,,,,3,20,0,0.15
4,2013,Nyack College,,,,10,16,0,0.625
5,2013,Barton College,,,,17,11,0,1.5454545454545454
6,2013,Lynn University,,,,9,18,0,0.5
7,2013,Post University,,,,11,16,0,0.6875
8,2013,Rollins College,,,,14,13,0,1.0769230769230769
9,2013,Shaw University,,,,10,17,0,0.5882352941176471
10,2013,Barry University,,,,19,9,0,2.111111111111111
11,2013,Benedict College,,,,17,11,0,1.5454545454545454
12,2013,Drury University,,,,28,4,0,7.0
13,2013,Felician College,,,,6,20,0,0.3
14,2013,Le Moyne College,,,,17,12,0,1.4166666666666667
15,2013,Lewis University,,,,21,6,0,3.5
16,2013,Walsh University,,,,22,6,0,3.6666666666666665
17,2013,Gannon University,,,,20,10,0,2.0
18,2013,Merrimack College,,,,9,17,0,0.5294117647058824
19,2013,Stonehill College,,,,8,18,0,0.4444444444444444
20,2013,Adelphi University,,,,5,21,0,0.23809523809523808
21,2013,Ashland University,,,,11,15,0,0.7333333333333333
22,2013,Assumption College,,,,7,19,0,0.3684210526315789
23,2013,Augusta University,,,,24,8,0,3.0
24,2013,Bentley University,,,,18,11,0,1.6363636363636365
25,2013,Bloomfield College,,,,21,9,0,2.3333333333333335
26,2013,Concord University,,,,8,21,0,0.38095238095238093
27,2013,Harding University,,,,15,15,0,1.0
28,2013,Livingstone College,,,,21,8,0,2.625
29,2013,Shepherd University,,,,20,10,0,2.0
30,2013,Saint Anselm College,,,,22,8,0,2.75
31,2013,Saint Leo University,,,,24,9,0,2.6666666666666665
32,2013,Bellarmine University,,,,23,8,0,2.875
33,2013,Lindenwood University,,,,11,19,0,0.5789473684210527
34,2013,Mercyhurst University,,,,17,12,0,1.4166666666666667
35,2013,University of Findlay,,,,24,6,0,4.0
36,2013,Upper Iowa University,,,,16,14,0,1.1428571428571428
37,2013,Delta State University,,,,26,7,0,3.7142857142857144
38,2013,Holy Family University,,,,21,10,0,2.1
39,2013,Long Island University,,,,17,12,0,1.4166666666666667
40,2013,Minot State University,,,,8,19,0,0.42105263157894735
41,2013,Glenville State College,,,,18,11,0,1.6363636363636365
42,2013,Lenoir-Rhyne University,,,,16,11,0,1.4545454545454546
43,2013,Saint Michael's College,,,,18,9,0,2.0
44,2013,Simon Fraser University,,,,10,16,0,0.625
45,2013,St. Augustine's College,,,,13,16,0,0.8125
46,2013,University of New Haven,,,,21,9,0,2.3333333333333335
47,2013,West Liberty University,,,,31,4,0,7.75
48,2013,Winona State University,,,,26,8,0,3.25
49,2013,Bemidji State University,,,,18,9,0,2.0
50,2013,Carson-Newman University,,,,19,9,0,2.111111111111111
51,2013,Clark Atlanta University,,,,15,12,0,1.25
52,2013,Colorado School of Mines,,,,25,5,0,5.0
53,2013,Davis and Elkins College,,,,13,17,0,0.7647058823529411
54,2013,Florida Southern College,,,,26,5,0,5.2
55,2013,University of Bridgeport,,,,18,11,0,1.6363636363636365
56,2013,University of Montevallo,,,,26,6,0,4.333333333333333
57,2013,Academy of Art University,,,,6,21,0,0.2857142857142857
58,2013,Fairmont State University,,,,20,10,0,2.0
59,2013,Georgian Court University,,,,2,24,0,0.08333333333333333
60,2013,Humboldt State University,,,,11,17,0,0.6470588235294118
61,2013,Kentucky Wesleyan College,,,,22,9,0,2.4444444444444446
62,2013,Northern State University,,,,18,11,0,1.6363636363636365
63,2013,Tarleton State University,,,,28,3,0,9.333333333333334
64,2013,University of Sioux Falls,,,,15,12,0,1.25
65,2013,Valdosta State University,,,,16,12,0,1.3333333333333333
66,2013,Virginia State University,,,,14,13,0,1.0769230769230769
67,2013,West Texas A&M University,,,,10,17,0,0.5882352941176471
68,2013,Pittsburg State University,,,,8,18,0,0.4444444444444444
69,2013,Seattle Pacific University,,,,26,6,0,4.333333333333333
70,2013,St. Cloud State University,,,,20,8,0,2.5
71,2013,University of Indianapolis,,,,24,5,0,4.8
72,2013,University of West Florida,,,,7,20,0,0.35
73,2013,University of West Georgia,,,,18,12,0,1.5
74,2013,Wheeling Jesuit University,,,,15,13,0,1.1538461538461537
75,2013,Dixie State College of Utah,,,,21,7,0,3.0
76,2013,Johnson C. Smith University,,,,18,12,0,1.5
77,2013,Lincoln Memorial University,,,,28,3,0,9.333333333333334
78,2013,Alderson-Broaddus University,,,,24,5,0,4.8
79,2013,Concordia College (New York),,,,5,21,0,0.23809523809523808
80,2013,Dominican College (New York),,,,18,10,0,1.8
81,2013,Southwest Baptist University,,,,14,15,0,0.9333333333333333
82,2013,California Baptist University,,,,24,4,0,6.0
83,2013,Christian Brothers University,,,,18,11,0,1.6363636363636365
84,2013,Grand Valley State University,,,,19,8,0,2.375
85,2013,Oklahoma Christian University,,,,10,17,0,0.5882352941176471
86,2013,Texas A&M University-Commerce,,,,19,9,0,2.111111111111111
87,2013,Washburn University of Topeka,,,,17,10,0,1.7
88,2013,Western Washington University,,,,20,8,0,2.5
89,2013,American International College,,,,9,19,0,0.47368421052631576
90,2013,Lake Superior State University,,,,27,6,0,4.5
91,2013,Queens University of Charlotte,,,,14,13,0,1.0769230769230769
92,2013,University of Alaska Fairbanks,,,,18,10,0,1.8
93,2013,University of Central Missouri,,,,30,5,0,6.0
94,2013,University of Central Oklahoma,,,,20,10,0,2.0
95,2013,University of Southern Indiana,,,,25,6,0,4.166666666666667
96,2013,West Virginia State University,,,,13,14,0,0.9285714285714286
97,2013,Winston-Salem State University,,,,18,11,0,1.6363636363636365
98,2013,Saginaw Valley State University,,,,9,17,0,0.5294117647058824
99,2013,Augustana College (South Dakota),,,,16,14,0,1.1428571428571428
100,2013,Colorado State University-Pueblo,,,,15,12,0,1.25
