,market,id,code_ncaa,color
0,Milwaukee,5d77800f-1ae6-4b66-8e97-b0dbb8bbc717,797,#000000
1,Colorado,9fccbf28-2858-4263-821c-fdefb3c7efa3,157,#000000
2,Northeastern,93df9b18-e9fc-42a7-bb45-a736c203b4dc,500,#000000
3,Georgia Southern,6b955b96-b736-475e-bffd-e4acf2054169,253,#000066
4,Richmond,9b66e1e0-aace-4671-9be2-54c8acf5ecfc,575,#000066
5,Duquesne,fea46ac5-6dad-43cd-a770-75554dbcc118,194,#000144
6,North Florida,09920a5f-1b25-466c-b5ae-6167214f5ba9,2711,#001a49
7,Belmont,a0a22502-0d84-440c-84af-1fbb070ad54c,14927,#00205c
8,Murray State,77a69fb0-1355-4342-ac09-b4cc7949d95e,454,#002144
9,Pittsburgh,24051034-96bb-4f78-a3a6-312f3258780f,545,#002144
10,Virginia,56913910-87f7-4ad7-ae3b-5cd9fb218fd9,746,#002147
11,Penn State,4aebd148-8119-4875-954c-66779867989b,539,#002147
12,George Washington,d52c3640-069c-4554-982e-e6537c8044f1,249,#002147
13,Monmouth,3db7336c-c18a-441b-912e-e2a4408f12ea,439,#002147
14,New Hampshire,93cb009e-5bbf-4081-b2c9-44028fe28096,469,#002162
15,Drake,aed211c3-23a4-4188-ad70-22c6eba7d765,189,#002181
16,BYU,c31455b2-8a45-4248-aa8f-ce7eab1c6b02,77,#002255
17,Dayton,632616c5-2dbb-4017-a449-c9dfc303f026,175,#002453
18,Utah State,7672ff16-8436-47e6-8546-0fb5494ec7ee,731,#00264a
19,Jackson State,c444e03b-d16b-48b2-9b18-823c2647d41d,314,#002654
20,Toledo,34dd83ac-64f2-4b73-8577-899b2a46f5cc,709,#002663
21,Ole Miss,d7d668ec-edaa-4d6b-be25-2ebba4128643,433,#002663
22,Kent State,3da4798c-2d58-4dac-b66e-ad145a91b544,331,#002664
23,Georgetown,8736b67f-5924-400b-bf94-3bd804c36600,251,#00275d
24,UC Davis,8aaad1c0-d16e-4b9f-8541-dac670addd71,108,#002855
25,Xavier,0d8a328f-20ce-410b-bed1-15fc01308aaf,812,#002857
26,Akron,56fe0ab2-e4f0-47b9-8726-9ce23ebcde20,5,#00285e
27,Memphis,1551b3a0-6d10-4ffa-8dfa-73b56f004553,404,#002878
28,Florida Gulf Coast,5326c079-3dc3-468f-a601-b776dd9c1e62,28755,#00287A
29,Florida Atlantic,c851131a-5ecd-4670-81bc-b40f4837dd65,229,#002D62
30,Connecticut,efba5350-79bc-47aa-a189-db177b95b491,164,#002a5c
31,UC Irvine,39d00ef7-320d-47cf-a2fa-859bc24d16b4,109,#002a5c
32,Notre Dame,80962f09-8821-48b6-8cf0-0cf0eea56aa8,513,#002b5c
33,Louisiana Tech,8ff733a9-9f93-46de-ba7e-cf6f7e429670,366,#002f8b
34,Cal State Fullerton,c009914b-3303-4dee-b915-978aa48a31d0,97,#003057
35,Tennessee State,87721c44-53a2-47aa-9b3a-0f1c99b0f328,691,#003183
36,California,aacdc78d-b7fa-48f6-9686-2fdb8a95030e,107,#00325b
37,Samford,c13f96ba-c79c-452f-9f63-3b45fae4e543,625,#003362
38,Nevada,62a73b4a-e281-4483-a1f8-f1160a18e456,466,#003366
39,Villanova,4383eb6a-7fd8-4ff2-94c5-43c933121e88,739,#003366
40,Arizona,9b166a3f-e64b-4825-bb6b-92c6f0418263,29,#003366
41,Gonzaga,2f4d21f8-6d5f-48a5-abca-52a30583871a,260,#003366
42,Marquette,06f7c904-0ac7-4125-b0f4-f4871bb69057,387,#003366
43,Air Force,aa7af640-5762-4686-9181-39f7b8a8186e,721,#0033a1
44,Yale,ca478771-aa3d-4231-81e0-b70f519134fb,813,#00346a
